Transcript 1:
ただいまより抗がん剤小調整支援ロボット先生て紹介いたします。
Confidence: 89.70%

Word timestamps:
  ただいま|タダイマ: 0.00s - 13.70s
  より|ヨリ: 13.70s - 13.90s
  抗がん|コーガン: 13.90s - 14.70s
  剤|ザイ: 14.70s - 14.70s
  小|コ,ショー: 14.70s - 15.00s
  調整|チョーセー: 15.00s - 15.40s
  支援|シエン: 15.40s - 15.70s
  ロボット|ロボット: 15.70s - 16.50s
  先生|センセー: 16.50s - 16.90s
  て|テ: 16.90s - 17.10s
  紹介|ショーカイ: 17.10s - 17.70s
  いたし|イタシ: 17.70s - 17.90s
  ます|マス: 17.90s - 18.10s

Transcript 2:
 近年、化学療法の普及に普及し入院患者だけではなく、外来患者の多くも抗がん剤治療を受けるようになりました。
Confidence: 92.39%

Word timestamps:
  近年|キンネン: 19.90s - 20.50s
  化学|カガク,バケガク: 20.50s - 21.40s
  療法|リョーホー: 21.40s - 21.60s
  の|ノ: 21.60s - 21.80s
  普及|フキュー: 21.80s - 22.10s
  に|ニ: 22.10s - 22.40s
  普及|フキュー: 22.40s - 23.70s
  し|シ: 23.70s - 23.90s
  入院|ニューイン: 23.90s - 25.10s
  患者|カンジャ: 25.10s - 25.50s
  だけ|ダケ: 25.50s - 25.60s
  で|デ: 25.60s - 25.70s
  は|ワ: 25.70s - 25.90s
  なく|ナク: 25.90s - 26.00s
  外来|ガイライ: 26.00s - 26.80s
  患者|カンジャ: 26.80s - 27.00s
  の|ノ: 27.00s - 27.20s
  多く|オーク: 27.20s - 27.30s
  も|モ: 27.30s - 27.50s
  抗がん|コーガン: 27.50s - 28.10s
  剤|ザイ: 28.10s - 28.10s
  治療|チリョー: 28.10s - 28.30s
  を|オ: 28.30s - 28.50s
  受ける|ウケル: 28.50s - 28.80s
  よう|ヨー: 28.80s - 28.90s
  に|ニ: 28.90s - 29.00s
  なり|ナリ: 29.00s - 29.30s
  まし|マシ: 29.30s - 29.40s
  た|タ: 29.40s - 29.50s

Transcript 3:
 抗がん剤は特定の癌に対しては有効なものの毒性が強く抗がん剤の調整量を誤ると患者患者様にとって非常に危険なものとなりますまた調整作業を行う薬剤師の方とっても危険なため調整作業においては正確性及び安全性が重要となります次に抗がん剤投与の手順について説明いたしますまずはお医者様が患者様を診察され処方箋を作成しますその処方箋に薬剤師が講座抗がん剤の調整を行います
Confidence: 94.71%

Word timestamps:
  抗がん|コーガン: 31.20s - 31.90s
  剤|ザイ: 31.90s - 31.90s
  は|ワ: 31.90s - 32.20s
  特定|トクテー: 32.20s - 32.90s
  の|ノ: 32.90s - 33.10s
  癌|ガン: 33.10s - 33.30s
  に|ニ: 33.30s - 33.40s
